event_id,week,market,player,selection,line,odds,model_probability,edge,outcome,actual,profit
02522f48a7b7e7524881c1b1638cd94d,3,pass_yards,Tyrod Taylor,under,195.5,-130.0,0.8200000000000001,0.2547826086956523,lost,197.0,-1.0
02522f48a7b7e7524881c1b1638cd94d,3,pass_attempts,Tyrod Taylor,under,28.5,-130.0,0.871,0.3057826086956522,lost,36.0,-1.0
02522f48a7b7e7524881c1b1638cd94d,3,tackles_assists,Tykee Smith,under,6.5,-135.0,0.74,0.16553191489361696,lost,7.0,-1.0
02522f48a7b7e7524881c1b1638cd94d,3,tackles_assists,Andre Cisco,under,5.5,-154.0,0.75675,0.1504507874015748,won,4.0,0.6493506493506493
03a5eed2c8ef5d1c8a48866ea4b0d63a,3,defensive_interceptions,Marshon Lattimore,over,0.5,600.0,0.62925,0.4863928571428571,lost,0.0,-1.0
03a5eed2c8ef5d1c8a48866ea4b0d63a,3,anytime_td,Jeremy McNichols,over,0.5,550.0,0.2515,0.09765384615384615,won,1.0,5.5
03a5eed2c8ef5d1c8a48866ea4b0d63a,3,defensive_interceptions,Mike Sainristil,over,0.5,550.0,0.62925,0.4754038461538461,lost,0.0,-1.0
03a5eed2c8ef5d1c8a48866ea4b0d63a,3,receptions,Brock Bowers,over,8.5,521.0,0.2345,0.07346940418679548,lost,4.0,-1.0
03a5eed2c8ef5d1c8a48866ea4b0d63a,3,reception_yards,Terry McLaurin,over,89.5,520.0,0.231,0.06970967741935485,lost,74.0,-1.0
03a5eed2c8ef5d1c8a48866ea4b0d63a,3,pass_tds,Geno Smith,over,2.5,500.0,0.27125,0.10458333333333333,won,3.0,5.0
03a5eed2c8ef5d1c8a48866ea4b0d63a,3,sacks,Maxx Crosby,over,1.5,476.0,0.383,0.2093888888888889,lost,1.0,-1.0
03a5eed2c8ef5d1c8a48866ea4b0d63a,3,defensive_interceptions,Will Harris,over,0.5,475.0,0.62925,0.4553369565217391,lost,0.0,-1.0
03a5eed2c8ef5d1c8a48866ea4b0d63a,3,sacks,Devin White,over,0.5,459.0,0.6865,0.5076091234347049,lost,0.0,-1.0
03a5eed2c8ef5d1c8a48866ea4b0d63a,3,defensive_interceptions,Isaiah Pola-Mao,over,0.5,440.0,0.62925,0.4440648148148148,lost,0.0,-1.0
03a5eed2c8ef5d1c8a48866ea4b0d63a,3,reception_yards,Ashton Jeanty,over,29.5,420.0,0.2615,0.06919230769230769,lost,0.0,-1.0
03a5eed2c8ef5d1c8a48866ea4b0d63a,3,rush_yards,Deebo Samuel Sr.,over,19.5,400.0,0.26775,0.06774999999999998,lost,18.0,-1.0
03a5eed2c8ef5d1c8a48866ea4b0d63a,3,pass_interceptions,Marcus Mariota,over,1.5,390.0,0.364,0.15991836734693876,lost,0.0,-1.0
03a5eed2c8ef5d1c8a48866ea4b0d63a,3,reception_yards,Terry McLaurin,over,79.5,360.0,0.29725,0.07985869565217393,lost,74.0,-1.0
03a5eed2c8ef5d1c8a48866ea4b0d63a,3,reception_longest,Deebo Samuel Sr.,over,29.5,360.0,0.29325,0.07585869565217393,lost,9.0,-1.0
03a5eed2c8ef5d1c8a48866ea4b0d63a,3,reception_longest,Ashton Jeanty,over,14.5,350.0,0.308,0.08577777777777779,lost,0.0,-1.0
03a5eed2c8ef5d1c8a48866ea4b0d63a,3,sacks,Tyree Wilson,over,0.5,347.0,0.598,0.3742863534675615,lost,0.0,-1.0
03a5eed2c8ef5d1c8a48866ea4b0d63a,3,sacks,Daron Payne,over,0.5,345.0,0.6615,0.4367808988764045,lost,0.0,-1.0
03a5eed2c8ef5d1c8a48866ea4b0d63a,3,pass_interceptions,Geno Smith,over,1.5,330.0,0.4115,0.17894186046511626,lost,0.0,-1.0
03a5eed2c8ef5d1c8a48866ea4b0d63a,3,sacks,Thomas Booker IV,over,0.5,310.0,0.3755,0.13159756097560976,void,,0.0
03a5eed2c8ef5d1c8a48866ea4b0d63a,3,receptions,Brock Bowers,over,7.5,300.0,0.3325,0.08250000000000002,lost,4.0,-1.0
03a5eed2c8ef5d1c8a48866ea4b0d63a,3,reception_yards,Ashton Jeanty,over,24.5,285.0,0.3515,0.09175974025974026,lost,0.0,-1.0
03a5eed2c8ef5d1c8a48866ea4b0d63a,3,receptions,Terry McLaurin,over,5.5,280.0,0.33675,0.0735921052631579,lost,3.0,-1.0
03a5eed2c8ef5d1c8a48866ea4b0d63a,3,sacks,Von Miller,over,0.5,279.0,0.675,0.4111477572559367,won,1.0,2.79
03a5eed2c8ef5d1c8a48866ea4b0d63a,3,sacks,Daron Payne,over,0.25,267.0,0.6615,0.3890204359673024,lost,0.0,-1.0
03a5eed2c8ef5d1c8a48866ea4b0d63a,3,reception_longest,Terry McLaurin,over,29.5,260.0,0.365,0.0872222222222222,won,56.0,2.6
03a5eed2c8ef5d1c8a48866ea4b0d63a,3,reception_yards,Terry McLaurin,over,69.5,250.0,0.38575,0.10003571428571428,won,74.0,2.5
03a5eed2c8ef5d1c8a48866ea4b0d63a,3,rush_yards,Deebo Samuel Sr.,over,14.5,249.0,0.3835,0.09696704871060174,won,18.0,2.49
