season,sel,market,profit
2023,over,rush_attempts,-1.0
2023,over,reception_yards,0.9803921568627451
2023,under,pass_completions,-1.0
2023,under,pass_interceptions,0.970873786407767
2023,under,reception_yards,-1.0
2023,under,rush_yards,-1.0
2023,over,rush_yards,-1.0
2023,over,rush_longest,-1.0
2023,under,pass_yards,-1.0
2023,over,pass_attempts,-1.0
2023,under,rush_yards,-1.0
2023,over,reception_yards,0.9523809523809523
2023,under,reception_yards,-1.0
2023,under,rush_yards,0.9523809523809523
2023,under,reception_yards,-1.0
2023,over,reception_yards,0.9523809523809523
2023,under,receptions,0.9523809523809523
2023,over,tackles_assists,-1.0
2023,under,rush_yards,-1.0
2023,under,reception_longest,0.9259259259259259
2023,over,pass_longest_completion,0.9259259259259259
2023,over,pass_interceptions,-1.0
2023,under,rush_attempts,0.9259259259259259
2023,over,reception_yards,0.9259259259259259
2023,over,pass_yards,0.9259259259259259
2023,over,pass_attempts,-1.0
2023,under,reception_yards,-1.0
2023,over,reception_yards,-1.0
2023,over,reception_yards,0.9174311926605505
2023,over,kicking_points,-1.0
2023,under,pass_attempts,0.9174311926605505
2023,over,reception_longest,0.9090909090909091
2023,under,tackles_assists,-1.0
2023,over,reception_longest,-1.0
2023,under,reception_longest,0.9090909090909091
2023,over,reception_longest,0.9090909090909091
2023,over,reception_longest,0.9090909090909091
2023,under,rush_yards,-1.0
2023,over,rush_longest,-1.0
2023,under,reception_yards,-1.0
2023,over,reception_yards,0.9090909090909091
2023,over,reception_yards,0.9090909090909091
2023,under,reception_yards,-1.0
2023,over,reception_yards,0.9090909090909091
2023,under,reception_yards,-1.0
2023,over,reception_yards,0.9090909090909091
2023,over,reception_yards,0.9090909090909091
2023,under,reception_yards,-1.0
2023,under,reception_yards,0.9090909090909091
2023,over,reception_yards,-1.0
2023,under,reception_yards,0.9090909090909091
2023,over,rush_yards,-1.0
2023,under,rush_yards,0.9090909090909091
2023,over,rush_yards,0.9090909090909091
2023,over,rush_yards,-1.0
2023,under,reception_yards,0.9090909090909091
2023,under,rush_yards,0.9090909090909091
2023,under,pass_longest_completion,-1.0
2023,under,reception_yards,-1.0
2023,over,reception_yards,-1.0
